FName(String),LName(String),AreaCode(String),Phone(String),City(String),State(String),Zip(String),MaritalStatus(String),HasChild(String),Salary(Float),Rate(Float),SingleExemp(Float),ChildExemp(Float) 
Hwayong,Rotzell, 509,178-1201,EAST OLYMPIA,WA,98540,M,N,79000,0.0,0,0
Marl,Servi, 302,189-2014,ODESSA,DE,19730,S,Y,55500,5.643182,110,110
Fons,Bryce, 702,151-1075,INCLINE VILLAGE,NV,89452,S,Y,6500,0.0,0,0
Marten,Delatizky, 404,137-1665,SMYRNA,GA,30082,M,N,60000,6.0,0,0
Giridharan,Collavizza, 787,161-1884,TOA ALTA,PR,00954,M,N,10000,0.0,0,0
Shalini,Schach, 276,124-1752,HENRICO,VA,23238,M,Y,27500,5.75,0,900
Gerardo,Poli, 712,115-2039,SIOUX CITY,IA,51108,M,N,30500,4.872621,0,0
Naoko,Tschernko, 334,145-1673,SAMSON,AL,36477,M,N,49500,5.0,0,0
Henryk,Hitomi, 304,101-1824,LESAGE,WV,25537,M,N,60000,6.5,0,0
Kazuyuki,Shanawa, 573,112-1940,LAKE SAINT LOUIS,MO,63367,M,N,50000,6.0,0,0
Candy,Worz, 734,101-1425,HOWELL,MI,48863,M,N,68000,3.9,0,0
Bhabani,Kawashimo, 406,136-1064,ABSAROKEE,MT,59001,M,N,31500,6.9,0,0
Ravi,Jacques, 860,163-1486,THOMPSON,CT,06277,S,Y,52500,5.0,12750,0
Kalervo,Nobel, 505,193-1621,MONTICELLO,NM,87939,M,N,49000,5.3,0,0
Gennoveffa,Mongenet, 434,170-1025,FREDERICKSBURG,VA,22404,M,N,91500,5.75,0,0
Lunjin,Namjoshi, 304,161-1488,BORDERLAND,WV,25665,M,N,83500,6.5,0,0
Jianming,Rubey, 701,176-1899,HILLSBORO,ND,58045,S,Y,32500,2.1324582,3300,3300
Hercules,Zuzuki, 608,185-1592,SENECA,WI,54654,S,Y,11500,4.646218,700,400
Danil,Bacciotti, 603,133-1356,CONTOOCOOK,NH,03229,M,N,44500,0.0,0,0
Ivor,Gidron, 717,166-2094,PITMAN,PA,17964,M,N,99000,3.07,0,0
Noriaki,Noonan, 504,139-1762,JACKSON,LA,70748,S,Y,76000,6.0,4500,1000
Derrell,McMahon, 731,105-2033,KNOXVILLE,TN,37995,S,Y,46000,0.0,0,0
Conor,Wolff, 479,185-1009,CAMDEN,AR,71711,M,N,43500,7.0,0,0
Gor,Guid, 269,187-2015,CHEBOYGAN,MI,49721,M,N,54500,3.9,0,0
Chi,Masamoto, 208,150-1073,FRANKLIN,ID,83237,M,N,95500,7.8,0,0
Jui,Mackenzie, 907,127-1255,TOGIAK,AK,99678,M,N,77000,0.0,0,0
Wonchan,Randall, 423,151-1154,GAINESBORO,TN,38562,M,N,70000,0.0,0,0
Ruedi,Ohhara, 208,147-1274,EASTPORT,ID,83826,M,N,67500,7.8,0,0
Thaddeus,Vittorini, 480,143-1467,TUCSON,AZ,85713,S,N,85500,4.04025,2100,0
Miche,Rajkumar, 202,194-1522,WASHINGTON,DC,20408,M,N,65000,9.0,0,0
Galal,Fouquere, 480,141-1964,SAINT DAVID,AZ,85630,M,N,97500,4.2262497,0,0
Miheko,Theimer, 574,164-1159,NEW MIDDLETOWN,IN,47160,S,Y,18500,3.4,1000,1000
Shifu,Arbia, 480,128-1852,WICKENBURG,AZ,85390,M,N,40000,3.335,0,0
Pia,Calingaert, 781,106-1233,MONROE BRIDGE,MA,01350,S,Y,70000,5.3,3575,1000
Shaul,Coroyer, 785,165-1179,COLDWATER,KS,67029,S,N,90000,6.45,2250,0
Lorna,Albuquerque, 307,117-1745,HYATTVILLE,WY,82428,S,Y,89500,0.0,0,0
Martti,Ratnaker, 912,155-1645,BRUNSWICK,GA,31523,M,N,10500,6.0,0,0
Isamu,Chetali, 605,127-1355,ARMOUR,SD,57313,S,Y,89500,0.0,0,0
Tibor,Pokorny, 208,118-1141,BERN,ID,83220,M,N,56500,7.8,0,0
Kristin,Dye, 256,173-1688,MEXIA,AL,36458,S,Y,27000,5.0,1500,300
Kwangho,Ramiller, 775,185-1808,LAS VEGAS,NV,89144,M,N,60000,0.0,0,0
Wernher,Dollery, 802,175-1002,NEWPORT CENTER,VT,05857,M,N,9000,3.6,0,0
Inhan,Joslin, 843,160-1183,SALTERS,SC,29590,M,N,2000,2.5,0,0
Henrietta,Belzer, 302,178-1423,WILMINGTON,DE,19806,S,Y,95500,5.95,110,110
Teresa,Graeb, 334,198-1171,BIRMINGHAM,AL,35235,S,Y,96000,5.0,1500,300
Odoardo,Kalloufi, 443,132-1460,BALTIMORE,MD,21235,M,N,40000,4.75,0,0
Mariko,Nacsa, 417,139-1962,KANSAS CITY,MO,64161,S,Y,60000,6.0,2100,1200
Rohini,Bercovich, 505,196-1306,REGINA,NM,87046,M,N,14500,4.785714,0,0
Isi,Rebaine, 719,170-1694,DENVER,CO,80261,M,N,60500,4.63,0,0
Yoshiro,Mapelli, 603,189-1216,BETHLEHEM,NH,03574,S,Y,17500,0.0,0,0
Tmima,Demeyer, 253,144-1267,SEATTLE,WA,98105,S,Y,47500,0.0,0,0
Alun,Drewnowski, 304,146-1447,JUNIOR,WV,26275,M,N,25000,4.05,0,0
Ramsey,Dunzinger, 856,191-1214,BURLINGTON,NJ,08016,M,N,12000,1.4,0,0
Yasutaka,Leonhardt, 724,178-1706,CLIFTON HEIGHTS,PA,19018,M,N,75500,3.07,0,0
Xiong,Gomide, 234,161-1085,FARMDALE,OH,44417,M,N,6500,0.7617923,0,0
Amichai,Durer, 702,140-1650,ELY,NV,89301,M,N,85500,0.0,0,0
Chengfei,Ritondale, 712,125-1146,SWALEDALE,IA,50477,S,Y,52000,8.191746,40,40
Jarrett,Gurrie, 208,128-1455,PINGREE,ID,83262,M,N,30500,7.8,0,0
Lawrence,Luckhardt, 678,156-1179,MACON,GA,31205,M,N,96500,6.0,0,0
Kojiro,Schupeta, 401,123-1268,WARWICK,RI,02887,M,N,44000,0.0,0,0
Denzil,Dreier, 651,137-1957,SANBORN,MN,56083,M,N,78000,7.85,0,0
Hirotani,Chevalier, 228,112-1940,MOSS POINT,MS,39563,M,N,50500,5.0,0,0
Ashesh,Salvato, 405,131-1054,POCASSET,OK,73079,S,Y,24500,6.25,1000,1000
Funda,Shebanow, 316,144-1072,WHITEWATER,KS,67154,S,N,28500,6.1549997,2250,0
Wenxue,Dinkhoff, 907,114-1442,FAIRBANKS,AK,99707,M,N,93500,0.0,0,0
Pak,Rozoy, 918,181-1505,HAILEYVILLE,OK,74546,M,N,3000,1.7777778,0,0
Ivo,Hanratty, 702,106-1234,NORTH LAS VEGAS,NV,89085,M,N,18000,0.0,0,0
Michial,Oxman, 207,123-1096,SHERIDAN,ME,04775,S,Y,86000,8.5,2850,2850
Mikiya,Lafora, 608,162-1618,MASON,WI,54856,S,Y,75000,5.7495394,700,400
Zahira,Beigel, 602,128-1066,QUARTZSITE,AZ,85346,S,Y,68500,3.7767498,2100,2300
Mihai,Winstone, 410,114-1060,TYASKIN,MD,21865,S,Y,60500,4.75,2400,2400
Ameet,Beam, 985,135-1058,NEW ORLEANS,LA,70159,S,Y,39000,6.0,4500,1000
Pauray,Lewart, 402,127-1655,COLUMBUS,NE,68602,S,Y,30500,6.84,103,103
Hongyuan,Stylianou, 432,140-1963,AUSTIN,TX,78715,M,N,65000,0.0,0,0
Catarina,Birge, 505,199-1244,HOBBS,NM,88240,M,N,76500,5.3,0,0
Narjes,Sauers, 317,136-1660,FISHERS,IN,46038,M,N,21000,3.4,0,0
Shailesh,Brush, 971,142-1470,TILLER,OR,97484,M,N,53500,9.0,0,0
Sadaki,Heydon, 863,136-1860,POMPANO BEACH,FL,33069,M,N,10000,0.0,0,0
Kwangkeun,Kubierschky, 234,100-1245,DUNDEE,OH,44624,M,N,59500,2.5211205,0,0
Kamar,Goda, 802,128-1451,EAST MIDDLEBURY,VT,05740,S,Y,18500,3.6,3300,3300
Vladimiro,Junnemann, 808,194-1421,OCEAN VIEW,HI,96737,S,Y,75000,8.25,1040,1040
Gregers,Kildall, 646,182-1805,MONSEY,NY,10952,S,N,86000,4.4518294,0,0
Domine,Schlegel, 360,117-1045,MILL CREEK,WA,98082,S,Y,18500,0.0,0,0
Rafic,Sundgren, 504,187-1511,BASTROP,LA,71221,S,Y,75500,6.0,4500,1000
Bilel,Ledin, 401,139-1767,TIVERTON,RI,02878,M,N,74500,0.0,0,0
Sudeshna,Krasemann, 585,193-1483,EAST QUOGUE,NY,11942,M,N,94500,4.501067,0,0
Sadayuki,Esch, 808,189-1216,HONOLULU,HI,96849,M,N,37000,7.7092104,0,0
Hitohisa,Zschoche, 208,123-1847,SHELLEY,ID,83274,S,Y,18500,6.522586,3300,3300
Tohgoroh,Rauma, 307,116-1944,DANIEL,WY,83115,M,N,34500,0.0,0,0
Youquan,Weinberg, 443,163-1486,SILVER SPRING,MD,20902,S,Y,49500,4.75,2400,2400
Wuu,Bonniger, 605,126-1830,CAMP CROOK,SD,57724,M,N,10500,0.0,0,0
Angel,Zolla, 939,133-1430,SAN JUAN,PR,00910,M,N,44000,0.0,0,0
Pimitivo,Flass, 240,190-1250,MONROVIA,MD,21770,M,N,18500,4.75,0,0
Limsoon,Metze, 260,172-1645,CARLISLE,IN,47838,S,Y,12500,3.4,1000,1000
Dariu,Peot, 931,112-1540,ROCKVALE,TN,37153,M,N,10000,0.0,0,0
Dnnald,Stifter, 240,161-1923,IRONSIDES,MD,20643,S,Y,87000,4.75,2400,2400
Hristo,Prenel, 609,146-1941,MONMOUTH JUNCTION,NJ,08852,S,Y,7000,1.4,1000,1500
Imtiaz,Raschid, 731,101-1825,BURLISON,TN,38015,M,N,7500,0.0,0,0
Zita,Ramsdell, 406,171-1416,KINSEY,MT,59338,M,Y,15500,6.9,0,1900
Katsuma,Fushchich, 614,154-1377,AKRON,OH,44309,M,N,68000,2.803277,0,0
Hongbing,Liggesmeyer, 787,162-1787,SAN JUAN,PR,00923,M,N,9000,0.0,0,0
Marian,Cusick, 307,159-1580,MANDERSON,WY,82432,S,N,59000,0.0,0,0
Muffy,Klusch, 907,119-1924,UNALAKLEET,AK,99684,S,Y,79500,0.0,0,0
Elvia,Schonlau, 787,131-1254,RINCON,PR,00677,M,N,49000,0.0,0,0
Sette,Craddock, 802,158-1059,RUTLAND,VT,05701,S,N,78000,4.5569715,3300,0
Kokou,Halgason, 803,185-1509,NEW ELLENTON,SC,29809,M,Y,50500,7.0,0,3300
Surjatini,Zockler, 541,145-1373,HERMISTON,OR,97838,S,Y,43500,9.0,159,159
Jade,Schulmeyer, 701,168-1292,ANAMOOSE,ND,58710,M,N,21500,2.1,0,0
Saurav,Maffray, 808,106-1601,M C B H KANEOHE BAY,HI,96863,M,N,33000,6.9881577,0,0
Garrel,Garigliano, 205,196-1620,GADSDEN,AL,35904,S,Y,64000,5.0,1500,300
Dominique,Hedayat, 610,152-1018,HALLSTEAD,PA,18822,S,Y,25000,3.07,0,0
Govind,Zilles, 339,148-1721,BOSTON,MA,02118,M,N,85500,5.3,0,0
Ajei,OHallaron, 443,127-1455,QUEENSTOWN,MD,21658,M,N,14500,4.75,0,0
Toru,Day, 212,110-1583,TARRYTOWN,NY,10591,M,N,72500,4.373628,0,0
Jusung,Haskin, 701,135-1163,MEDINA,ND,58467,S,Y,22000,2.1,3300,3300
Anish,Ulich, 252,176-1538,MILTON,NC,27305,S,Y,55500,6.8968534,3300,3300
Arnie,Zaccone, 814,161-1389,GRAY,PA,15544,S,Y,25500,3.07,0,0
Yumiko,Cannane, 276,168-1192,SKIPPERS,VA,23879,S,Y,40500,5.75,900,900
Clelia,Nozawa, 401,196-1041,NORTH PROVIDENCE,RI,02911,M,N,65500,0.0,0,0
Bader,Hebmann, 315,145-1369,HILLSDALE,NY,12529,M,N,3500,4.0,0,0
Wided,Lurvey, 304,175-2003,PARKERSBURG,WV,26106,M,N,62000,6.5,0,0
Grit,Burgess, 270,192-1215,HOLMES MILL,KY,40843,S,Y,20000,2.9444444,20,20
Jorge,Schick, 308,138-1066,ROYAL,NE,68773,M,N,56500,6.84,0,0
Danny,Poch, 320,193-1913,CHISAGO CITY,MN,55013,S,Y,29500,5.8297224,3300,3300
Viljem,Hardjono, 302,174-1702,WILMINGTON,DE,19850,S,Y,39000,4.518182,110,110
Sarmad,Denna, 501,142-1815,BEEBE,AR,72012,M,N,37500,7.0,0,0
Raven,Vincente, 406,199-1142,BILLINGS,MT,59106,M,N,41000,6.9,0,0
Cholwich,Glenstrup, 801,142-1165,WEST JORDAN,UT,84084,S,N,44500,7.0,2475,0
Surata,Brodley, 304,177-1305,NEMOURS,WV,24738,S,Y,34000,4.68,2000,2000
Jaak,Rosaz, 802,122-1225,BENSON,VT,05731,S,Y,27000,3.6,3300,3300
Aditya,Salmen, 404,182-1610,DRY BRANCH,GA,31020,S,Y,7500,6.0,2700,3000
Astro,Ohori, 317,133-1556,GOSHEN,IN,46526,M,N,62000,3.4,0,0
Dongki,Bowditch, 802,121-1729,COVENTRY,VT,05825,M,N,14000,3.6,0,0
Tingting,Huhtala, 224,156-1379,GALESBURG,IL,61401,S,Y,52000,3.0,2000,2000
Hideki,Riccone, 620,178-2073,OLATHE,KS,66051,S,Y,19500,4.385,2250,2250
Woei,Camarinopoulos, 240,140-1464,COLLEGE PARK,MD,20740,M,N,55500,4.75,0,0
Wilhelm,Schaad, 270,177-1005,ADAMS,KY,41201,M,N,82000,6.0,0,0
Maz,Arden, 843,193-1196,SAINT STEPHEN,SC,29479,S,Y,25000,7.0,3300,3300
Haixun,Miculan, 605,113-1641,GLENCROSS,SD,57630,M,N,9500,0.0,0,0
Kais,Spray, 701,166-1089,JAMESTOWN,ND,58402,S,Y,20500,2.1,3300,3300
Mansur,Priebe, 304,112-1039,GLEN DANIEL,WV,25844,S,Y,53500,6.045,2000,2000
Brant,Wunderlin, 802,130-1121,HARTLAND FOUR CORNERS,VT,05049,S,Y,50000,3.9998987,3300,3300
Avinoam,Buskens, 325,186-1297,MONT BELVIEU,TX,77580,S,N,24000,0.0,0,0
Teri,Cleve, 630,191-1412,FAIRBURY,IL,61739,S,Y,49000,3.0,2000,2000
Maz,Recce, 504,117-1012,BATON ROUGE,LA,70820,M,N,50000,6.0,0,0
Luerbio,Duval, 603,162-1086,CENTER CONWAY,NH,03813,M,N,12500,0.0,0,0
Maggie,Angeline, 321,128-2077,PALM HARBOR,FL,34682,M,N,77000,0.0,0,0
Brenan,Macskassy, 360,145-1668,QUINCY,WA,98848,M,N,64000,0.0,0,0
Amanda,Ratto, 605,131-1656,WOLSEY,SD,57384,S,Y,48500,0.0,0,0
Sait,Lagendijk, 501,190-1114,KINGSLAND,AR,71652,S,Y,28500,7.0,20,20
Malini,Manchala, 603,176-2036,MOUNT WASHINGTON,NH,03589,M,N,3500,0.0,0,0
Akshay,Whang, 435,129-1253,SALT LAKE CITY,UT,84151,M,N,61000,7.0,0,0
Mar,Friedman, 505,142-1069,EL RITO,NM,87530,M,N,21500,5.3,0,0
Fikret,Thollembeck, 479,179-1930,ASH FLAT,AR,72513,M,N,77000,7.0,0,0
Savio,Henser, 907,196-1924,DELTA JUNCTION,AK,99737,S,Y,4000,0.0,0,0
Karama,Sandkuhl, 302,152-1376,FREDERICA,DE,19946,M,N,73000,5.95,0,0
Boyko,Neuhaus, 402,168-1595,ITHACA,NE,68033,M,N,61000,6.84,0,0
Jamie,Damy, 501,194-1117,FORT SMITH,AR,72919,S,Y,75500,7.0,20,20
Szymon,Sanada, 240,126-1137,GOLDSBORO,MD,21636,S,Y,15500,4.75,2400,2400
Kare,Isaksen, 808,192-1915,PEPEEKEO,HI,96783,S,Y,27500,5.996711,1040,1040
Egor,Biancardi, 901,176-1504,WATERTOWN,TN,37184,M,N,94500,0.0,0,0
Gowri,Borgelt, 406,193-1316,REXFORD,MT,59930,M,N,74500,6.9,0,0
Johny,Baatz, 646,148-1049,LILY DALE,NY,14752,S,Y,99500,4.5300303,0,1000
Naji,Feldmeister, 918,192-2048,ROLAND,OK,74954,M,N,67500,6.25,0,0
Haihong,Kubela, 208,198-1125,CAREYWOOD,ID,83809,S,Y,69500,7.8,3300,3300
Mohsen,Krotopoulou, 206,158-1837,NEAH BAY,WA,98357,S,Y,42500,0.0,0,0
Rozalia,Milosavljevic, 217,180-1507,RED BUD,IL,62278,S,Y,67000,3.0,2000,2000
Anupan,Kruys, 406,160-1183,BILLINGS,MT,59102,M,N,32000,6.9,0,0
Shiyi,Ruemmler, 623,196-1974,PATAGONIA,AZ,85624,M,N,88000,4.079,0,0
Evanthia,Calvi, 414,158-1982,JIM FALLS,WI,54748,M,N,31000,4.985033,0,0
Tanguy,Zongker, 304,199-1327,PROCTOR,WV,26055,M,N,54000,6.08,0,0
Voratas,Devlin, 702,163-1536,BUNKERVILLE,NV,89007,M,N,11500,0.0,0,0
Volkhard,Gavoille, 207,125-1503,NEWCASTLE,ME,04553,M,N,82000,8.5,0,0
Giang,Colombet, 302,132-2055,WILMINGTON,DE,19803,M,Y,78000,5.95,0,110
Mallika,Bassolet, 307,177-1722,LINGLE,WY,82223,S,Y,44500,0.0,0,0
Christodoulakis,Kumaran, 478,123-1346,HOMER,GA,30547,S,Y,11500,6.0,2700,3000
Mordechay,Kafatos, 603,140-1968,DERRY,NH,03038,S,Y,28000,0.0,0,0
Darwyn,Simhi, 207,175-1402,CENTER LOVELL,ME,04016,M,N,16000,7.432482,0,0
Alasdair,Haddley, 207,110-1638,SMYRNA MILLS,ME,04780,M,N,72000,8.5,0,0
Mitsuhide,Cassaro, 402,153-1377,MULLEN,NE,69152,M,N,87500,6.84,0,0
Joakim,Edagawa, 339,166-1193,BOLTON,MA,01740,M,N,48000,5.3,0,0
Yurij,Luesebrink, 606,122-1946,BEE SPRING,KY,42207,M,N,20500,2.9722223,0,0
Boalin,Poss, 808,104-1932,PAPAALOA,HI,96780,M,N,90000,8.25,0,0
Yasmine,Pittarelli, 409,112-1935,EL PASO,TX,79995,M,N,70500,0.0,0,0
Celia,Wroclawski, 302,167-1395,WILMINGTON,DE,19850,M,N,99000,5.95,0,0
Fouzia,Hallman, 440,176-1799,UNIONVILLE,OH,44088,S,Y,16500,1.093741,1300,1300
Jent,Bilotta, 501,170-1430,GREENWAY,AR,72430,M,N,60500,7.0,0,0
Mathilde,Rill, 339,125-1048,CHICOPEE,MA,01014,M,N,47500,5.3,0,0
Claire,Moffat, 605,186-1013,SPRINGFIELD,SD,57062,S,Y,64500,0.0,0,0
Ren,Marriott, 207,145-1068,FORT KENT,ME,04743,S,Y,56500,8.5,2850,2850
Jongwon,Melski, 918,181-1709,HASKELL,OK,74436,M,N,90000,6.25,0,0
Yijie,Bark, 808,121-1845,WAIKOLOA,HI,96738,M,N,100000,8.25,0,0
Slimane,OYoung, 402,152-1195,MC COOL JUNCTION,NE,68401,M,N,74000,6.84,0,0
Hikyu,Kamijo, 810,187-1667,ARCADIA,MI,49613,S,Y,49000,3.9,3100,3100
Raimo,Roveri, 425,166-1977,PULLMAN,WA,99163,S,Y,6000,0.0,0,0
Dani,Varsek, 605,193-1616,ROCKHAM,SD,57470,M,N,54000,0.0,0,0
Jing,Parris, 434,126-1954,CHESAPEAKE,VA,23326,S,Y,99500,5.75,900,900
Branimir,Greitane, 802,174-1098,FERRISBURGH,VT,05456,M,N,38500,3.771101,0,0
Mathew,Galesi, 208,132-1342,MOYIE SPRINGS,ID,83845,M,N,35500,7.8,0,0
Kaila,Paseman, 402,186-1510,AMHERST,NE,68812,M,N,10000,3.9097095,0,0
Takayuki,Masada, 702,187-1815,ELY,NV,89315,S,Y,34500,0.0,0,0
Muriel,Peral, 206,193-1716,SEATTLE,WA,98144,S,Y,95500,0.0,0,0
Tetsushi,Jonckers, 912,198-1626,WRENS,GA,30833,S,Y,2500,2.4,2700,3000
Gianna,Welcome, 505,145-1069,ROGERS,NM,88132,M,N,26500,5.3,0,0
Brad,Coors, 603,105-1400,MANCHESTER,NH,03109,M,N,35500,0.0,0,0
Shushma,Rivieres, 316,111-1934,NEW CAMBRIA,KS,67470,S,Y,71000,6.45,2250,2250
Aidan,Flatt, 404,163-1806,HOGANSVILLE,GA,30230,M,N,38000,6.0,0,0
Frederique,Feldmesser, 402,186-2009,ARAPAHOE,NE,68922,M,N,45500,6.84,0,0
Doug,Mikulecka, 507,155-1882,MILROY,MN,56263,M,N,77500,7.85,0,0
Bhaskaram,Dekhtjar, 802,178-1702,EAST DORSET,VT,05253,M,N,12500,3.6,0,0
Navdeep,Krishnan, 206,132-1998,OCEAN SHORES,WA,98569,S,Y,46500,0.0,0,0
Tedd,Gust, 769,126-1299,DREW,MS,38737,S,Y,47500,5.0,6000,1500
Liangchun,Rowland, 401,183-1211,WOONSOCKET,RI,02895,M,N,12500,0.0,0,0
Basem,Dicky, 402,191-2014,CROFTON,NE,68730,M,N,71000,6.84,0,0
Bjarte,Stellhorn, 843,111-1057,NORTH CHARLESTON,SC,29418,M,N,25000,7.0,0,0
Duane,Kinariwala, 605,187-1078,WITTEN,SD,57584,M,Y,12000,0.0,0,0
Tich,Elston, 615,137-1265,CEDAR HILL,TN,37032,S,Y,63500,0.0,0,0
Sidd,Alm, 626,139-1662,SANTA BARBARA,CA,93103,S,Y,67500,9.3,87,272
Joshua,Fergany, 662,121-1449,ETTA,MS,38627,M,N,17000,5.0,0,0
Ferenc,Sejnowski, 303,185-1909,COLORADO SPRINGS,CO,80902,M,N,4500,4.63,0,0
Francis,Szemeredi, 401,187-1715,EXETER,RI,02822,M,N,86500,0.0,0,0
Peiyuan,Strzalkowski, 952,167-1890,FROST,MN,56033,S,N,97000,7.85,3300,0
Abhijit,Chattergy, 605,150-1878,ALCESTER,SD,57001,M,N,4500,0.0,0,0
Bela,Jaakkola, 918,133-1756,OKLAHOMA CITY,OK,73169,S,Y,87500,6.25,1000,1000
Irene,Kugler, 478,142-1670,DAWSON,GA,39842,S,Y,38500,6.0,2700,3000
Xiaoping,Ortmann, 605,187-1060,LABOLT,SD,57246,M,N,44000,0.0,0,0
Oya,Cowen, 304,191-1356,UPPER TRACT,WV,26866,M,N,45500,5.4849997,0,0
Jiajie,Garnier, 802,152-1180,CALAIS,VT,05648,S,Y,66000,4.3182263,3300,3300
Lotte,Prenel, 605,145-1568,RAPID CITY,SD,57702,S,Y,65500,0.0,0,0
Hongguang,Yamagata, 870,126-1072,TAYLOR,AR,71861,M,N,25500,6.282897,0,0
Lory,Koester, 401,155-1378,JAMESTOWN,RI,02835,S,Y,59500,0.0,0,0
Shiroteru,Gobioff, 907,171-1698,FAIRBANKS,AK,99710,M,N,2000,0.0,0,0
Hyongmuk,Biancardi, 207,171-1294,MOUNT VERNON,ME,04352,M,N,86000,8.5,0,0
PeiZong,Brull, 401,104-1532,GREENVILLE,RI,02828,S,Y,41000,0.0,0,0
Guang,Gurr, 704,148-1671,FONTANA DAM,NC,28733,M,N,89500,7.61014,0,0
Hussam,Slahor, 907,179-1306,PALMER,AK,99645,M,N,55500,0.0,0,0
Kathrin,Loiselle, 947,135-1558,COOKS,MI,49817,M,N,32500,3.9,0,0
Hing,Pelc, 443,192-1520,CHESTERTOWN,MD,21690,S,Y,96500,4.75,2400,2400
Danai,Fasching, 801,198-1921,EDEN,UT,84310,M,N,77000,7.0,0,0
Scott,Vierke, 414,124-1619,WOODWORTH,WI,53194,S,Y,18000,4.759156,700,400
Yoshimori,Limongiello, 515,129-1852,OSAGE,IA,50461,S,N,68000,8.98,40,0
Edil,Bentlage, 207,183-1677,ISLESBORO,ME,04848,M,N,73500,8.5,0,0
Lucja,Canepa, 406,123-1696,MISSOULA,MT,59801,S,N,38500,6.9,1900,0
Georgia,Fioravanti, 336,109-1637,DOBSON,NC,27017,S,Y,95500,7.736014,3300,3300
Shaowei,Sippu, 816,154-1577,CROSS TIMBERS,MO,65634,S,Y,69000,6.0,2100,1200
Prasad,Parson, 870,178-1624,LITTLE ROCK,AR,72207,S,Y,25500,6.282897,20,20
Charalambos,Shiratori, 702,182-1155,LAS VEGAS,NV,89199,M,N,37000,0.0,0,0
Zhonghui,Chappell, 208,140-1068,EASTPORT,ID,83826,M,N,100000,7.8,0,0
Xiaocong,Yabe, 701,187-1042,TURTLE LAKE,ND,58575,M,N,26500,2.1,0,0
Venkatachary,Gitlin, 763,182-1510,CLARKS GROVE,MN,56016,S,Y,55500,7.217129,3300,3300
Horward,Mulatero, 541,142-1165,YAMHILL,OR,97148,M,N,93500,9.0,0,0
Silvano,Farrel, 505,186-1013,LUNA,NM,87824,M,N,41500,5.3,0,0
Jeffry,Halverson, 239,130-1354,KEY LARGO,FL,33037,S,Y,90000,0.0,0,0
Xiaoxiong,Reeve, 971,103-1531,PORTLAND,OR,97217,M,N,41500,9.0,0,0
Tobin,Danner, 701,189-1212,TAPPEN,ND,58487,M,N,58000,2.4280605,0,0
Henri,Rosiles, 505,163-1091,ALBUQUERQUE,NM,87106,M,N,32000,5.3,0,0
Agata,Takkinen, 509,196-1619,SEATTLE,WA,98178,M,N,41000,0.0,0,0
Umest,Berbec, 716,101-1946,VERMONTVILLE,NY,12989,M,N,5000,4.0,0,0
Haider,Eppinger, 865,195-1868,MEMPHIS,TN,38131,S,Y,59500,0.0,0,0
Yardena,Hammainen, 307,190-1833,COKEVILLE,WY,83114,M,N,71000,0.0,0,0
Jit,Pena, 605,131-1154,KIMBALL,SD,57355,S,Y,66000,0.0,0,0
Topi,Godsey, 720,129-1657,COLORADO SPRINGS,CO,80918,S,Y,70000,4.63,0,0
Jaynarayan,Salemi, 913,198-1122,POTWIN,KS,67123,M,N,34500,6.45,0,0
Slimane,Beeson, 217,100-1927,TENNESSEE,IL,62374,M,N,3000,3.0,0,0
Octavio,Pagter, 207,133-1757,NEWFIELD,ME,04056,S,Y,39500,8.5,2850,2850
Gladys,Lassalle, 207,128-2038,JONESPORT,ME,04649,S,Y,50000,8.5,2850,2850
Garret,Katalagarianos, 641,163-1286,DES MOINES,IA,50360,S,Y,99000,8.98,40,40
Qingshan,Matzen, 203,125-1052,HARTFORD,CT,06114,S,Y,37000,5.0,12750,0
Kyungwol,Marjeta, 504,124-1848,NEW ORLEANS,LA,70128,M,N,35500,6.0,0,0
Yukihiro,Kechadi, 808,101-1461,HONOKAA,HI,96727,M,N,44500,8.25,0,0
Tingting,Abawajy, 907,104-1827,FORT YUKON,AK,99740,M,N,66500,0.0,0,0
Jayashree,Bas, 803,151-1079,ELGIN,SC,29045,S,Y,38000,7.0,3300,3300
Tsunenori,Jamali, 479,164-1387,ALPENA,AR,72611,S,Y,500,1.0,20,20
Gay,Noriega, 325,183-1488,HOUSTON,TX,77066,S,Y,25000,0.0,0,0
Garrison,Ramaswamy, 614,103-1027,GALLOWAY,OH,43119,S,Y,90000,3.533564,1300,1300
Panagiota,Nangia, 947,128-2055,IRONS,MI,49644,M,N,74500,3.9,0,0
Muhamed,Kalyanakrishnan, 843,111-1434,MAULDIN,SC,29662,S,Y,62000,7.0,3300,3300
Bernando,Messeguer, 562,135-1462,NORTH FORK,CA,93643,M,N,50000,9.3,0,0
Sanket,Villanueva, 240,146-1637,WASHINGTON GROVE,MD,20880,S,Y,24000,4.75,2400,2400
Rose,Bhattacharjee, 803,153-1481,HONEA PATH,SC,29654,S,Y,54000,7.0,3300,3300
Mojmir,Eyal, 337,156-1480,LAFAYETTE,LA,70500,S,Y,37000,6.0,4500,1000
Robb,Pijls, 260,132-1039,SAINT MEINRAD,IN,47577,S,Y,100000,3.4,1000,1000
Dattatraya,Dewal, 623,125-1248,PHOENIX,AZ,85048,M,N,97500,4.2262497,0,0
Bassel,Oberman, 479,175-1803,GUY,AR,72061,S,Y,27500,6.760966,20,20
Arjun,Pool, 605,131-1755,SELBY,SD,57472,M,N,73500,0.0,0,0
